filename,width,height,class,xmin,ymin,xmax,ymax
16262_png_jpg.rf.c6cb30e0b2ede8bcff6438cebd1a02f3.jpg,512,512,spot,331,280,346,290
16262_png_jpg.rf.c6cb30e0b2ede8bcff6438cebd1a02f3.jpg,512,512,spot,343,302,359,315
16262_png_jpg.rf.c6cb30e0b2ede8bcff6438cebd1a02f3.jpg,512,512,spot,355,331,373,343
16262_png_jpg.rf.c6cb30e0b2ede8bcff6438cebd1a02f3.jpg,512,512,spot,98,201,124,216
16262_png_jpg.rf.c6cb30e0b2ede8bcff6438cebd1a02f3.jpg,512,512,spot,258,119,282,138
16262_png_jpg.rf.c6cb30e0b2ede8bcff6438cebd1a02f3.jpg,512,512,spot,328,321,349,336
16262_png_jpg.rf.c6cb30e0b2ede8bcff6438cebd1a02f3.jpg,512,512,spot,112,371,132,391
16262_png_jpg.rf.c6cb30e0b2ede8bcff6438cebd1a02f3.jpg,512,512,spot,360,292,378,309
26817_png_jpg.rf.c6202600e22acb9b85ce311cf0a2de91.jpg,512,512,acne,158,317,176,333
26817_png_jpg.rf.c6202600e22acb9b85ce311cf0a2de91.jpg,512,512,acne,322,400,339,411
26817_png_jpg.rf.c6202600e22acb9b85ce311cf0a2de91.jpg,512,512,spot,177,289,193,305
26817_png_jpg.rf.c6202600e22acb9b85ce311cf0a2de91.jpg,512,512,spot,198,273,214,288
08431_png_jpg.rf.c6cf455f5c44d54e066c461be40b5869.jpg,512,512,spot,384,306,401,318
08431_png_jpg.rf.c6cf455f5c44d54e066c461be40b5869.jpg,512,512,spot,374,322,390,335
08431_png_jpg.rf.c6cf455f5c44d54e066c461be40b5869.jpg,512,512,acne,153,138,163,148
23344_png_jpg.rf.c79d9ddeb24b5667a9406783ec90bf23.jpg,512,512,spot,349,321,364,332
23344_png_jpg.rf.c79d9ddeb24b5667a9406783ec90bf23.jpg,512,512,spot,182,412,194,426
23344_png_jpg.rf.c79d9ddeb24b5667a9406783ec90bf23.jpg,512,512,spot,218,425,230,433
23344_png_jpg.rf.c79d9ddeb24b5667a9406783ec90bf23.jpg,512,512,spot,196,429,209,444
38905_png_jpg.rf.c78be1ffa6eddd0096466ee928e0de5b.jpg,512,512,acne,333,365,353,380
38905_png_jpg.rf.c78be1ffa6eddd0096466ee928e0de5b.jpg,512,512,spot,176,397,194,411
38905_png_jpg.rf.c78be1ffa6eddd0096466ee928e0de5b.jpg,512,512,acne,268,219,281,232
gf3jGO5dqMCk4M9PqZdz5Q_jpg.rf.c606df3797fe6e8f0f25cf0ec458d44b.jpg,488,488,spot,227,70,241,79
gf3jGO5dqMCk4M9PqZdz5Q_jpg.rf.c606df3797fe6e8f0f25cf0ec458d44b.jpg,488,488,spot,308,56,320,66
gf3jGO5dqMCk4M9PqZdz5Q_jpg.rf.c606df3797fe6e8f0f25cf0ec458d44b.jpg,488,488,spot,261,58,273,67
gf3jGO5dqMCk4M9PqZdz5Q_jpg.rf.c606df3797fe6e8f0f25cf0ec458d44b.jpg,488,488,acne,305,404,316,413
gf3jGO5dqMCk4M9PqZdz5Q_jpg.rf.c606df3797fe6e8f0f25cf0ec458d44b.jpg,488,488,spot,257,442,276,452
gf3jGO5dqMCk4M9PqZdz5Q_jpg.rf.c606df3797fe6e8f0f25cf0ec458d44b.jpg,488,488,spot,153,339,164,346
gf3jGO5dqMCk4M9PqZdz5Q_jpg.rf.c606df3797fe6e8f0f25cf0ec458d44b.jpg,488,488,spot,269,416,284,425
gf3jGO5dqMCk4M9PqZdz5Q_jpg.rf.c606df3797fe6e8f0f25cf0ec458d44b.jpg,488,488,spot,285,409,293,421
gf3jGO5dqMCk4M9PqZdz5Q_jpg.rf.c606df3797fe6e8f0f25cf0ec458d44b.jpg,488,488,spot,186,405,194,416
gf3jGO5dqMCk4M9PqZdz5Q_jpg.rf.c606df3797fe6e8f0f25cf0ec458d44b.jpg,488,488,spot,190,426,202,436
gf3jGO5dqMCk4M9PqZdz5Q_jpg.rf.c606df3797fe6e8f0f25cf0ec458d44b.jpg,488,488,spot,250,433,260,442
gf3jGO5dqMCk4M9PqZdz5Q_jpg.rf.c606df3797fe6e8f0f25cf0ec458d44b.jpg,488,488,spot,264,428,275,440
gf3jGO5dqMCk4M9PqZdz5Q_jpg.rf.c606df3797fe6e8f0f25cf0ec458d44b.jpg,488,488,spot,205,125,218,136
23654_png_jpg.rf.c66a5d7d40f6f64e0069d8524832336d.jpg,512,512,pimple,240,151,258,168
23654_png_jpg.rf.c66a5d7d40f6f64e0069d8524832336d.jpg,512,512,acne,210,160,227,172
23654_png_jpg.rf.c66a5d7d40f6f64e0069d8524832336d.jpg,512,512,acne,255,183,267,198
04763_png_jpg.rf.c5a87afe03f6e8abfc709c2c75e4f38d.jpg,512,512,acne,125,306,143,319
04763_png_jpg.rf.c5a87afe03f6e8abfc709c2c75e4f38d.jpg,512,512,acne,125,337,149,354
04763_png_jpg.rf.c5a87afe03f6e8abfc709c2c75e4f38d.jpg,512,512,spot,153,354,166,365
04763_png_jpg.rf.c5a87afe03f6e8abfc709c2c75e4f38d.jpg,512,512,acne,96,259,109,267
04763_png_jpg.rf.c5a87afe03f6e8abfc709c2c75e4f38d.jpg,512,512,acne,66,346,77,358
48218_png_jpg.rf.c70d8243c174303c31a70c08cc4700bc.jpg,512,512,pimple,252,236,258,242
48218_png_jpg.rf.c70d8243c174303c31a70c08cc4700bc.jpg,512,512,spot,163,306,173,313
48218_png_jpg.rf.c70d8243c174303c31a70c08cc4700bc.jpg,512,512,spot,328,304,338,312
48218_png_jpg.rf.c70d8243c174303c31a70c08cc4700bc.jpg,512,512,acne,234,409,241,415
48218_png_jpg.rf.c70d8243c174303c31a70c08cc4700bc.jpg,512,512,spot,196,303,206,310
48218_png_jpg.rf.c70d8243c174303c31a70c08cc4700bc.jpg,512,512,spot,207,296,217,302
Sonali-Jana-is-a-Domestic-worker-from-Ula-C_jpg.rf.c576f7ea41ab943a5fe70cf0c171a13e.jpg,514,514,spot,347,321,359,332
Sonali-Jana-is-a-Domestic-worker-from-Ula-C_jpg.rf.c576f7ea41ab943a5fe70cf0c171a13e.jpg,514,514,spot,360,338,373,354
Sonali-Jana-is-a-Domestic-worker-from-Ula-C_jpg.rf.c576f7ea41ab943a5fe70cf0c171a13e.jpg,514,514,acne,125,347,134,361
Sonali-Jana-is-a-Domestic-worker-from-Ula-C_jpg.rf.c576f7ea41ab943a5fe70cf0c171a13e.jpg,514,514,acne,165,327,172,338
Sonali-Jana-is-a-Domestic-worker-from-Ula-C_jpg.rf.c576f7ea41ab943a5fe70cf0c171a13e.jpg,514,514,acne,161,429,172,442
Sonali-Jana-is-a-Domestic-worker-from-Ula-C_jpg.rf.c576f7ea41ab943a5fe70cf0c171a13e.jpg,514,514,spot,201,473,212,484
Sonali-Jana-is-a-Domestic-worker-from-Ula-C_jpg.rf.c576f7ea41ab943a5fe70cf0c171a13e.jpg,514,514,spot,178,334,190,343
Sonali-Jana-is-a-Domestic-worker-from-Ula-C_jpg.rf.c576f7ea41ab943a5fe70cf0c171a13e.jpg,514,514,acne,97,337,105,347
Sonali-Jana-is-a-Domestic-worker-from-Ula-C_jpg.rf.c576f7ea41ab943a5fe70cf0c171a13e.jpg,514,514,spot,151,409,159,422
08482_png_jpg.rf.c5ace9533642efffe3ea6a2107a1dd82.jpg,512,512,acne,277,171,290,184
08482_png_jpg.rf.c5ace9533642efffe3ea6a2107a1dd82.jpg,512,512,spot,103,377,118,392
08482_png_jpg.rf.c5ace9533642efffe3ea6a2107a1dd82.jpg,512,512,pimple,157,344,171,361
08482_png_jpg.rf.c5ace9533642efffe3ea6a2107a1dd82.jpg,512,512,spot,212,435,226,454
26864_png_jpg.rf.c5d91a0071357ebcbfc13c01e6d6c77f.jpg,512,512,acne,189,308,207,322
